,Oligodendrocyte/OPC__Donor_333,Excitatory neuron__Donor_865,Excitatory neuron__Donor_614,Excitatory neuron__Donor_333,Inhibitory neuron__Donor_31,Excitatory neuron__Donor_1001,Excitatory neuron__Donor_638,Excitatory neuron__Donor_228,Inhibitory neuron__Donor_1001,Excitatory neuron__Donor_31,Support/Vascular/Immune__Donor_1001,Excitatory neuron__Donor_1007,Astrocyte Homeostatic__Donor_614,Inhibitory neuron__Donor_638,Inhibitory neuron__Donor_333,Astrocyte Reactive__Donor_1001,Microglia__Donor_1001,Oligodendrocyte/OPC__Donor_1001,Microglia__Donor_865,Support/Vascular/Immune__Donor_638,Support/Vascular/Immune__Donor_228,Inhibitory neuron__Donor_865,Support/Vascular/Immune__Donor_614,Inhibitory neuron__Donor_614,Microglia__Donor_333,Microglia__Donor_614,Oligodendrocyte/OPC__Donor_865,Support/Vascular/Immune__Donor_865,Support/Vascular/Immune__Donor_333,Microglia__Donor_228,Astrocyte Reactive__Donor_614,Support/Vascular/Immune__Donor_31,Microglia__Donor_1007,Astrocyte Homeostatic__Donor_31,Inhibitory neuron__Donor_228,Inhibitory neuron__Donor_1007,Oligodendrocyte/OPC__Donor_638,Support/Vascular/Immune__Donor_1007,Astrocyte Reactive__Donor_865,Oligodendrocyte/OPC__Donor_614,Microglia__Donor_638,Microglia__Donor_31,Oligodendrocyte/OPC__Donor_228,Excitatory neuron__Donor_545,Inhibitory neuron__Donor_941,Excitatory neuron__Donor_941,Excitatory neuron__Donor_1467,Oligodendrocyte/OPC__Donor_941,Support/Vascular/Immune__Donor_941,Inhibitory neuron__Donor_545,Oligodendrocyte/OPC__Donor_545,Microglia__Donor_545,Support/Vascular/Immune__Donor_1467,Inhibitory neuron__Donor_1467,Support/Vascular/Immune__Donor_545,Microglia__Donor_941,Astrocyte Homeostatic__Donor_941,Astrocyte Homeostatic__Donor_545,Excitatory neuron__Donor_609,Excitatory neuron__Donor_735,Excitatory neuron__Donor_634,Astrocyte Homeostatic__Donor_1146,Astrocyte Homeostatic__Donor_609,Support/Vascular/Immune__Donor_1146,Inhibitory neuron__Donor_1146,Inhibitory neuron__Donor_1278,Oligodendrocyte/OPC__Donor_721,Microglia__Donor_634,Excitatory neuron__Donor_1146,Excitatory neuron__Donor_721,Microglia__Donor_1146,Astrocyte Reactive__Donor_1146,Microglia__Donor_609,Inhibitory neuron__Donor_634,Inhibitory neuron__Donor_721,Oligodendrocyte/OPC__Donor_1278,Support/Vascular/Immune__Donor_735,Inhibitory neuron__Donor_609,Oligodendrocyte/OPC__Donor_735,Excitatory neuron__Donor_1278,Support/Vascular/Immune__Donor_609,Support/Vascular/Immune__Donor_634,Support/Vascular/Immune__Donor_1278,Support/Vascular/Immune__Donor_721,Astrocyte Homeostatic__Donor_735,Inhibitory neuron__Donor_735,Microglia__Donor_721,Oligodendrocyte/OPC__Donor_634,Astrocyte Homeostatic__Donor_721,Astrocyte Reactive__Donor_735,Astrocyte Reactive__Donor_634,Microglia__Donor_735,Oligodendrocyte/OPC__Donor_1146,Astrocyte Reactive__Donor_609,Oligodendrocyte/OPC__Donor_609,Astrocyte Homeostatic__Donor_1278
ENSG00000075651,8914.0,13865.0,517.0,1902.0,5624.0,1162.0,1900.0,1290.0,537.0,323.0,76.0,291.0,1448.0,317.0,338.0,240.0,81.0,3762.0,490.0,35.0,50.0,33.0,56.0,141.0,8.0,91.0,7.0,105.0,58.0,8.0,154.0,40.0,5.0,723.0,250.0,47.0,11.0,10.0,243.0,25.0,31.0,6.0,16.0,1886.0,11712.0,834.0,477.0,607.0,34.0,212.0,16.0,17.0,41.0,239.0,16.0,11.0,48.0,102.0,2875.0,556.0,4101.0,2888.0,2806.0,117.0,872.0,9623.0,7624.0,190.0,220.0,551.0,66.0,124.0,224.0,355.0,2127.0,713.0,47.0,324.0,85.0,1391.0,74.0,67.0,34.0,70.0,1169.0,711.0,22.0,477.0,108.0,103.0,460.0,31.0,65.0,94.0,17.0,84.0
ENSG00000075884,4185.0,621.0,560.0,1122.0,5691.0,1336.0,396.0,493.0,4229.0,703.0,1117.0,185.0,137.0,2055.0,1576.0,92.0,663.0,1229.0,1339.0,52.0,210.0,64.0,232.0,686.0,149.0,259.0,4.0,193.0,943.0,2.0,13.0,576.0,13.0,437.0,796.0,379.0,8.0,29.0,4.0,6.0,25.0,58.0,8.0,141.0,4999.0,491.0,213.0,490.0,440.0,1750.0,3.0,4.0,218.0,557.0,37.0,70.0,42.0,2.0,2928.0,224.0,1233.0,2209.0,748.0,3277.0,1929.0,3703.0,11315.0,430.0,4344.0,1426.0,2544.0,40.0,211.0,1916.0,2191.0,282.0,295.0,136.0,23.0,897.0,830.0,499.0,646.0,1568.0,279.0,2261.0,599.0,170.0,156.0,6.0,166.0,120.0,85.0,10.0,12.0,62.0
ENSG00000077238,89.0,152.0,36.0,12.0,320.0,73.0,26.0,11.0,466.0,8.0,13.0,5.0,2.0,160.0,143.0,21.0,15.0,421.0,642.0,3.0,3.0,15.0,4.0,68.0,0.0,7.0,174.0,15.0,12.0,1.0,12.0,4.0,1.0,2.0,22.0,20.0,120.0,2.0,42.0,115.0,6.0,1.0,31.0,20.0,87.0,7.0,15.0,7.0,7.0,118.0,43.0,0.0,0.0,78.0,2.0,0.0,0.0,0.0,477.0,19.0,50.0,4.0,8.0,16.0,100.0,53.0,34.0,6.0,19.0,9.0,16.0,6.0,14.0,333.0,42.0,6.0,19.0,12.0,86.0,22.0,14.0,7.0,1.0,6.0,3.0,538.0,4.0,453.0,0.0,12.0,65.0,6.0,15.0,28.0,168.0,0.0
ENSG00000077264,185.0,4282.0,1976.0,1261.0,113.0,3401.0,922.0,755.0,163.0,427.0,3303.0,313.0,91.0,78.0,129.0,191.0,4236.0,79.0,1126.0,375.0,461.0,205.0,1565.0,99.0,210.0,1601.0,34.0,2006.0,1574.0,118.0,19.0,466.0,143.0,28.0,19.0,12.0,11.0,146.0,136.0,10.0,455.0,75.0,6.0,1420.0,246.0,632.0,113.0,8.0,560.0,98.0,5.0,286.0,331.0,38.0,505.0,332.0,1.0,1.0,5504.0,1703.0,1934.0,219.0,172.0,3224.0,293.0,222.0,443.0,4169.0,3050.0,1217.0,2869.0,20.0,4342.0,234.0,160.0,40.0,1320.0,158.0,9.0,710.0,2456.0,1983.0,572.0,1384.0,35.0,67.0,996.0,40.0,14.0,13.0,649.0,1534.0,9.0,20.0,7.0,6.0
ENSG00000077420,60.0,212.0,67.0,27.0,3712.0,55.0,58.0,32.0,4715.0,24.0,35.0,3.0,10.0,1933.0,923.0,2.0,22.0,38.0,3438.0,9.0,12.0,55.0,16.0,569.0,1.0,11.0,3.0,20.0,9.0,0.0,5.0,11.0,5.0,4.0,725.0,323.0,1.0,1.0,2.0,1.0,15.0,5.0,0.0,22.0,994.0,21.0,9.0,13.0,8.0,1352.0,0.0,4.0,5.0,808.0,0.0,2.0,1.0,0.0,909.0,47.0,82.0,34.0,24.0,43.0,1455.0,1086.0,100.0,21.0,40.0,8.0,20.0,3.0,21.0,1478.0,506.0,4.0,12.0,15.0,1.0,21.0,16.0,20.0,5.0,6.0,9.0,4898.0,6.0,15.0,0.0,1.0,14.0,10.0,2.0,1.0,1.0,0.0
ENSG00000077942,23.0,314.0,82.0,116.0,51.0,289.0,233.0,237.0,99.0,106.0,23.0,26.0,6.0,43.0,43.0,559.0,20.0,16.0,9.0,3.0,2.0,66.0,8.0,9.0,1.0,9.0,0.0,8.0,5.0,0.0,179.0,5.0,0.0,2.0,1.0,0.0,1.0,1.0,218.0,0.0,1.0,0.0,0.0,164.0,55.0,61.0,163.0,2.0,9.0,3.0,0.0,1.0,1.0,30.0,5.0,1.0,0.0,0.0,169.0,117.0,132.0,8.0,12.0,17.0,47.0,48.0,109.0,11.0,149.0,32.0,11.0,96.0,14.0,58.0,30.0,2.0,7.0,17.0,0.0,182.0,13.0,6.0,3.0,7.0,7.0,20.0,5.0,1.0,1.0,337.0,529.0,2.0,1.0,158.0,0.0,1.0
ENSG00000077943,52.0,376.0,136.0,203.0,45.0,186.0,100.0,67.0,64.0,56.0,2126.0,11.0,13.0,22.0,62.0,74.0,63.0,26.0,24.0,709.0,789.0,58.0,1107.0,27.0,1.0,29.0,6.0,1790.0,1233.0,0.0,77.0,323.0,6.0,11.0,2.0,3.0,1.0,178.0,106.0,1.0,6.0,0.0,2.0,219.0,94.0,49.0,62.0,12.0,231.0,49.0,2.0,11.0,495.0,5.0,431.0,4.0,3.0,1.0,569.0,62.0,202.0,40.0,41.0,1018.0,142.0,51.0,89.0,44.0,188.0,80.0,30.0,112.0,87.0,72.0,56.0,2.0,1273.0,135.0,3.0,46.0,2901.0,1420.0,682.0,789.0,11.0,28.0,6.0,11.0,2.0,21.0,331.0,7.0,1.0,49.0,3.0,0.0
ENSG00000077984,7.0,4.0,4.0,4.0,6.0,3.0,1.0,4.0,15.0,2.0,2.0,0.0,1.0,1.0,12.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,14.0,2.0,6.0,3.0,1.0,10.0,4.0,2.0,7.0,1.0,6.0,1.0,3.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,10.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
ENSG00000078018,592.0,10134.0,4785.0,3338.0,445.0,8825.0,3514.0,2188.0,652.0,1232.0,7693.0,919.0,156.0,381.0,497.0,29.0,8998.0,296.0,2461.0,1673.0,2565.0,650.0,3608.0,334.0,672.0,3384.0,66.0,4546.0,4132.0,305.0,11.0,1808.0,273.0,50.0,64.0,34.0,55.0,462.0,49.0,47.0,1053.0,142.0,18.0,3454.0,854.0,1367.0,615.0,45.0,1529.0,369.0,10.0,698.0,1543.0,157.0,1597.0,480.0,8.0,12.0,12748.0,3555.0,4872.0,474.0,452.0,6881.0,1053.0,635.0,933.0,9423.0,7423.0,2589.0,5194.0,14.0,9674.0,1043.0,529.0,51.0,3144.0,494.0,75.0,1896.0,6212.0,4700.0,2148.0,2899.0,106.0,276.0,1497.0,206.0,23.0,6.0,95.0,2326.0,31.0,11.0,39.0,18.0
ENSG00000078114,451.0,13981.0,8749.0,9361.0,1476.0,14073.0,14371.0,14907.0,4933.0,6507.0,6104.0,3265.0,101.0,1502.0,4101.0,820.0,5885.0,1002.0,1428.0,1036.0,1730.0,4655.0,2920.0,1347.0,340.0,2673.0,596.0,3663.0,2770.0,149.0,321.0,1225.0,98.0,41.0,38.0,159.0,264.0,331.0,517.0,171.0,591.0,113.0,75.0,11205.0,2298.0,2330.0,5325.0,115.0,1000.0,470.0,73.0,399.0,875.0,888.0,800.0,392.0,8.0,5.0,14367.0,8287.0,12895.0,216.0,232.0,5242.0,2557.0,1206.0,762.0,6592.0,10526.0,2984.0,3757.0,66.0,6470.0,6086.0,1341.0,77.0,3235.0,1290.0,370.0,5235.0,3614.0,3509.0,1389.0,2198.0,43.0,2745.0,1138.0,936.0,17.0,73.0,1658.0,2312.0,82.0,168.0,300.0,9.0
ENSG00000078269,11646.0,17300.0,506.0,2256.0,5271.0,1183.0,1387.0,974.0,71.0,262.0,179.0,238.0,1296.0,54.0,302.0,31.0,1205.0,3739.0,268.0,41.0,66.0,37.0,117.0,71.0,88.0,393.0,90.0,182.0,117.0,21.0,15.0,47.0,24.0,574.0,141.0,5.0,14.0,16.0,6.0,21.0,71.0,20.0,18.0,1872.0,12809.0,780.0,326.0,618.0,51.0,33.0,41.0,78.0,18.0,171.0,32.0,121.0,57.0,123.0,3289.0,890.0,3764.0,1893.0,3229.0,271.0,573.0,8454.0,7760.0,1119.0,245.0,477.0,745.0,3.0,760.0,100.0,2310.0,564.0,158.0,532.0,157.0,1246.0,326.0,143.0,74.0,105.0,1760.0,177.0,287.0,660.0,103.0,3.0,178.0,565.0,52.0,9.0,40.0,74.0
ENSG00000078295,258.0,16879.0,7256.0,5996.0,1232.0,10389.0,15465.0,12867.0,3215.0,4993.0,3967.0,2817.0,88.0,1729.0,2220.0,209.0,3038.0,116.0,1042.0,511.0,684.0,4310.0,2013.0,915.0,156.0,1341.0,38.0,2543.0,1915.0,138.0,57.0,646.0,93.0,18.0,33.0,113.0,7.0,177.0,67.0,9.0,422.0,86.0,1.0,7718.0,1841.0,2154.0,4639.0,35.0,667.0,383.0,5.0,240.0,436.0,962.0,663.0,261.0,3.0,3.0,16799.0,7447.0,10285.0,211.0,210.0,4109.0,1703.0,910.0,589.0,3484.0,9352.0,3039.0,2701.0,50.0,3232.0,5343.0,1163.0,19.0,1742.0,1353.0,7.0,4666.0,2782.0,2151.0,869.0,1594.0,42.0,1986.0,930.0,52.0,13.0,20.0,354.0,1427.0,12.0,49.0,19.0,7.0
ENSG00000078328,6476.0,79445.0,38326.0,26590.0,5836.0,70499.0,17518.0,12401.0,4706.0,9841.0,21470.0,4570.0,1267.0,1906.0,3350.0,314.0,61958.0,2847.0,20005.0,3174.0,3389.0,4036.0,9069.0,2862.0,3594.0,30732.0,299.0,16429.0,11500.0,2526.0,113.0,2948.0,1640.0,687.0,429.0,288.0,216.0,1208.0,316.0,118.0,8561.0,1216.0,42.0,24332.0,14215.0,10158.0,3392.0,1124.0,3491.0,3359.0,53.0,5558.0,3170.0,987.0,4080.0,4082.0,88.0,81.0,82733.0,35069.0,32255.0,4606.0,3673.0,22764.0,8049.0,6199.0,7476.0,60789.0,56540.0,20469.0,38716.0,144.0,66378.0,4451.0,4551.0,447.0,8531.0,4407.0,134.0,14274.0,21260.0,8329.0,3260.0,7954.0,902.0,1934.0,11786.0,629.0,222.0,44.0,705.0,24834.0,159.0,85.0,122.0,84.0
ENSG00000078401,57.0,43.0,11.0,3.0,10.0,22.0,17.0,11.0,5.0,3.0,11.0,4.0,2.0,2.0,1.0,0.0,23.0,71.0,8.0,5.0,1.0,2.0,8.0,4.0,0.0,2.0,229.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,1.0,67.0,0.0,0.0,35.0,16.0,14.0,6.0,4.0,20.0,1.0,3.0,26.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,35.0,7.0,17.0,4.0,13.0,8.0,1.0,19.0,27.0,10.0,21.0,4.0,10.0,0.0,21.0,1.0,2.0,0.0,5.0,0.0,56.0,5.0,9.0,7.0,4.0,8.0,1.0,1.0,2.0,204.0,0.0,0.0,3.0,6.0,26.0,0.0,42.0,0.0
ENSG00000078579,2.0,27.0,5.0,5.0,127.0,18.0,8.0,3.0,67.0,0.0,5.0,0.0,0.0,27.0,29.0,0.0,15.0,1.0,8.0,2.0,0.0,1.0,0.0,13.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,30.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,23.0,4.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,27.0,8.0,5.0,3.0,2.0,5.0,64.0,37.0,9.0,20.0,28.0,1.0,21.0,0.0,13.0,51.0,15.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,134.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
ENSG00000079215,3806.0,23278.0,5826.0,6190.0,7263.0,10097.0,15487.0,19273.0,7790.0,13138.0,622.0,2404.0,568.0,4297.0,3200.0,579.0,98.0,1076.0,5966.0,279.0,726.0,3173.0,326.0,1738.0,5.0,105.0,32.0,383.0,483.0,8.0,187.0,818.0,12.0,443.0,1318.0,694.0,14.0,78.0,419.0,17.0,69.0,21.0,9.0,12244.0,7389.0,3180.0,8414.0,374.0,403.0,2236.0,7.0,10.0,346.0,1762.0,251.0,7.0,25.0,36.0,21131.0,7592.0,14975.0,1394.0,1171.0,721.0,2949.0,5358.0,4625.0,249.0,16120.0,2337.0,117.0,205.0,126.0,4109.0,2740.0,261.0,672.0,1283.0,44.0,7228.0,409.0,666.0,562.0,478.0,757.0,6584.0,24.0,307.0,73.0,193.0,1173.0,18.0,38.0,138.0,8.0,44.0
ENSG00000079335,278.0,1346.0,847.0,648.0,515.0,964.0,2391.0,2689.0,895.0,788.0,247.0,399.0,40.0,416.0,312.0,175.0,14.0,173.0,241.0,91.0,209.0,569.0,117.0,260.0,1.0,30.0,55.0,177.0,126.0,4.0,35.0,168.0,4.0,16.0,65.0,49.0,32.0,36.0,72.0,34.0,7.0,3.0,30.0,1089.0,345.0,260.0,684.0,26.0,111.0,151.0,23.0,1.0,104.0,161.0,64.0,1.0,0.0,5.0,1253.0,605.0,1292.0,59.0,76.0,231.0,467.0,231.0,161.0,34.0,1065.0,266.0,18.0,25.0,29.0,1177.0,225.0,18.0,140.0,197.0,47.0,667.0,205.0,196.0,177.0,131.0,36.0,420.0,6.0,180.0,4.0,27.0,459.0,2.0,23.0,14.0,62.0,1.0
ENSG00000079482,995.0,6309.0,3139.0,3259.0,1223.0,4980.0,6127.0,6496.0,1392.0,3325.0,3103.0,1212.0,211.0,386.0,1057.0,100.0,1503.0,434.0,512.0,1277.0,2185.0,1130.0,1467.0,270.0,114.0,734.0,54.0,1960.0,1924.0,43.0,21.0,1294.0,57.0,89.0,57.0,49.0,40.0,333.0,50.0,50.0,183.0,31.0,32.0,3854.0,1730.0,1072.0,2431.0,99.0,1267.0,151.0,13.0,86.0,1292.0,242.0,681.0,105.0,10.0,16.0,6704.0,2768.0,5273.0,340.0,386.0,2183.0,765.0,1112.0,1158.0,1734.0,4261.0,1294.0,1102.0,28.0,1608.0,1542.0,629.0,85.0,2193.0,398.0,66.0,2138.0,2011.0,2345.0,2010.0,1968.0,251.0,890.0,394.0,252.0,15.0,14.0,199.0,667.0,22.0,27.0,29.0,15.0
ENSG00000079691,132.0,7635.0,3890.0,3468.0,1108.0,5526.0,6215.0,8054.0,2987.0,3764.0,1129.0,1753.0,49.0,546.0,1142.0,116.0,3028.0,109.0,1756.0,96.0,95.0,1523.0,516.0,455.0,251.0,2409.0,22.0,857.0,540.0,110.0,40.0,88.0,114.0,15.0,189.0,109.0,11.0,71.0,51.0,15.0,448.0,65.0,1.0,5893.0,651.0,1162.0,2584.0,20.0,129.0,356.0,10.0,227.0,53.0,292.0,174.0,172.0,3.0,5.0,8865.0,2161.0,5051.0,131.0,147.0,1000.0,1275.0,518.0,303.0,3028.0,5611.0,1046.0,1924.0,34.0,5711.0,2080.0,529.0,15.0,444.0,484.0,13.0,2979.0,2175.0,301.0,78.0,351.0,23.0,2277.0,445.0,79.0,8.0,7.0,284.0,1062.0,20.0,53.0,12.0,1.0
ENSG00000080224,367.0,11744.0,7783.0,4412.0,806.0,14638.0,5337.0,5008.0,680.0,3297.0,4778.0,940.0,90.0,287.0,749.0,26.0,8988.0,198.0,1864.0,305.0,196.0,1168.0,2128.0,323.0,404.0,3778.0,37.0,1848.0,1412.0,191.0,12.0,265.0,170.0,29.0,38.0,34.0,13.0,140.0,37.0,16.0,949.0,215.0,1.0,5357.0,745.0,1422.0,2594.0,33.0,439.0,395.0,9.0,740.0,234.0,126.0,343.0,443.0,4.0,4.0,11177.0,4679.0,9768.0,332.0,254.0,4287.0,955.0,401.0,768.0,10799.0,9217.0,3217.0,5674.0,12.0,8172.0,535.0,447.0,27.0,1311.0,483.0,8.0,2944.0,1433.0,2114.0,472.0,1109.0,62.0,349.0,1923.0,56.0,22.0,1.0,79.0,2671.0,16.0,9.0,13.0,7.0
ENSG00000080493,260.0,8206.0,3317.0,3277.0,689.0,5047.0,10209.0,9813.0,1381.0,4803.0,857.0,1378.0,52.0,380.0,689.0,25.0,978.0,151.0,274.0,131.0,343.0,1157.0,276.0,265.0,35.0,471.0,46.0,553.0,411.0,33.0,3.0,182.0,13.0,36.0,26.0,51.0,7.0,53.0,70.0,14.0,83.0,26.0,2.0,6390.0,1001.0,1426.0,4585.0,37.0,140.0,195.0,12.0,62.0,128.0,212.0,123.0,91.0,3.0,1.0,6466.0,2035.0,4865.0,141.0,88.0,852.0,1139.0,635.0,387.0,823.0,7462.0,1161.0,829.0,5.0,953.0,1350.0,548.0,18.0,337.0,528.0,19.0,3534.0,723.0,389.0,272.0,321.0,32.0,527.0,158.0,85.0,7.0,6.0,2488.0,316.0,10.0,3.0,9.0,2.0
ENSG00000080573,81.0,2283.0,1173.0,1435.0,283.0,3299.0,2457.0,1542.0,458.0,2108.0,164.0,450.0,27.0,66.0,356.0,65.0,321.0,77.0,76.0,36.0,64.0,388.0,51.0,72.0,11.0,46.0,4.0,63.0,49.0,2.0,30.0,100.0,2.0,8.0,13.0,11.0,2.0,9.0,53.0,1.0,19.0,5.0,3.0,1873.0,403.0,682.0,1374.0,9.0,65.0,19.0,0.0,8.0,51.0,48.0,25.0,17.0,2.0,1.0,2284.0,1453.0,2021.0,63.0,39.0,312.0,440.0,167.0,108.0,108.0,3495.0,336.0,112.0,10.0,118.0,204.0,142.0,10.0,72.0,139.0,2.0,1544.0,68.0,129.0,112.0,88.0,10.0,269.0,44.0,12.0,0.0,52.0,87.0,70.0,1.0,9.0,2.0,3.0
ENSG00000080618,3232.0,878.0,153.0,201.0,1829.0,244.0,134.0,208.0,56.0,52.0,294.0,10.0,382.0,9.0,90.0,5.0,86.0,1129.0,21.0,14.0,63.0,6.0,118.0,17.0,9.0,39.0,0.0,65.0,123.0,0.0,0.0,91.0,3.0,291.0,39.0,0.0,1.0,5.0,1.0,1.0,3.0,5.0,0.0,134.0,3385.0,108.0,43.0,403.0,53.0,7.0,2.0,0.0,71.0,81.0,27.0,5.0,20.0,19.0,338.0,62.0,321.0,1243.0,1093.0,298.0,246.0,2069.0,4747.0,16.0,287.0,88.0,105.0,2.0,31.0,22.0,510.0,184.0,168.0,146.0,28.0,157.0,167.0,94.0,149.0,169.0,505.0,83.0,17.0,80.0,58.0,0.0,5.0,21.0,52.0,0.0,3.0,27.0
ENSG00000080822,8126.0,7963.0,633.0,1144.0,6350.0,718.0,2123.0,2066.0,174.0,355.0,233.0,282.0,1473.0,132.0,261.0,21.0,284.0,2021.0,216.0,86.0,159.0,107.0,177.0,101.0,13.0,159.0,40.0,195.0,116.0,16.0,5.0,75.0,9.0,1132.0,294.0,24.0,21.0,15.0,23.0,36.0,54.0,10.0,35.0,1871.0,8522.0,498.0,316.0,677.0,79.0,65.0,26.0,13.0,52.0,432.0,53.0,20.0,64.0,143.0,2832.0,412.0,5294.0,2888.0,4404.0,310.0,623.0,8358.0,15047.0,465.0,470.0,706.0,200.0,8.0,318.0,264.0,2998.0,622.0,95.0,489.0,99.0,892.0,179.0,241.0,72.0,172.0,1671.0,241.0,77.0,679.0,199.0,4.0,111.0,60.0,89.0,10.0,48.0,115.0
ENSG00000081041,5.0,8.0,2.0,3.0,9.0,2.0,0.0,3.0,30.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,2.0,15.0,0.0,0.0,0.0,17.0,0.0,23.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2.0,0.0,0.0,0.0,18.0,0.0,2.0,2.0,5.0,4.0,0.0,0.0,2.0,40.0,9.0,0.0,0.0,2.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,33.0,0.0,26.0,0.0,0.0,1.0,0.0,2.0,0.0,28.0,0.0
ENSG00000081189,550.0,11371.0,6944.0,4164.0,4285.0,12543.0,3549.0,3363.0,5455.0,1492.0,4730.0,1213.0,123.0,2193.0,2015.0,36.0,7251.0,845.0,4508.0,437.0,431.0,1043.0,2102.0,1226.0,490.0,3360.0,267.0,2617.0,2133.0,336.0,18.0,623.0,289.0,58.0,1075.0,597.0,131.0,161.0,55.0,167.0,1088.0,225.0,88.0,4924.0,1613.0,1668.0,788.0,65.0,719.0,2718.0,63.0,578.0,364.0,860.0,562.0,392.0,6.0,8.0,18161.0,4447.0,7290.0,564.0,399.0,5216.0,3660.0,1472.0,1150.0,7898.0,10267.0,3507.0,4969.0,26.0,11756.0,2820.0,1259.0,45.0,1685.0,865.0,202.0,2346.0,3663.0,2096.0,779.0,1607.0,81.0,5194.0,1122.0,836.0,30.0,11.0,176.0,1829.0,35.0,9.0,168.0,15.0
ENSG00000081237,38.0,135.0,61.0,18.0,1509.0,32.0,48.0,110.0,2540.0,7.0,17.0,5.0,15.0,986.0,581.0,1.0,17.0,30.0,1544.0,5.0,32.0,33.0,15.0,495.0,2.0,10.0,2.0,13.0,7.0,4.0,0.0,6.0,1.0,7.0,370.0,183.0,0.0,1.0,1.0,1.0,10.0,10.0,1.0,20.0,347.0,5.0,4.0,7.0,1.0,883.0,0.0,0.0,1.0,274.0,2.0,3.0,0.0,1.0,1961.0,6.0,107.0,35.0,17.0,29.0,573.0,430.0,115.0,44.0,50.0,15.0,11.0,2.0,16.0,979.0,305.0,5.0,8.0,21.0,0.0,15.0,10.0,34.0,4.0,14.0,8.0,2522.0,0.0,18.0,0.0,1.0,20.0,1.0,2.0,1.0,1.0,3.0
ENSG00000081479,7109.0,9852.0,338.0,1433.0,2370.0,717.0,1327.0,486.0,39.0,116.0,48.0,163.0,1119.0,28.0,207.0,8.0,25.0,2133.0,34.0,12.0,22.0,19.0,27.0,54.0,6.0,19.0,6.0,35.0,17.0,3.0,2.0,12.0,2.0,236.0,46.0,1.0,1.0,1.0,3.0,11.0,10.0,1.0,3.0,804.0,7739.0,499.0,282.0,337.0,9.0,14.0,12.0,1.0,8.0,126.0,4.0,3.0,22.0,68.0,2535.0,585.0,1635.0,1445.0,2634.0,66.0,434.0,7423.0,5038.0,70.0,97.0,356.0,46.0,0.0,29.0,65.0,1844.0,515.0,21.0,348.0,81.0,1045.0,34.0,42.0,16.0,30.0,983.0,111.0,18.0,303.0,53.0,0.0,73.0,6.0,27.0,3.0,9.0,48.0
ENSG00000081803,333.0,3844.0,2827.0,1536.0,499.0,3642.0,2260.0,2364.0,814.0,557.0,987.0,965.0,81.0,218.0,310.0,148.0,4095.0,748.0,2338.0,311.0,590.0,370.0,693.0,167.0,460.0,3565.0,623.0,891.0,827.0,359.0,58.0,307.0,394.0,36.0,47.0,59.0,216.0,187.0,122.0,299.0,850.0,152.0,57.0,3349.0,490.0,668.0,564.0,36.0,225.0,223.0,76.0,637.0,106.0,87.0,174.0,242.0,5.0,3.0,11236.0,1168.0,2474.0,203.0,299.0,712.0,360.0,326.0,524.0,6910.0,2125.0,822.0,1769.0,55.0,11657.0,562.0,160.0,38.0,559.0,169.0,259.0,649.0,3252.0,561.0,331.0,380.0,49.0,300.0,592.0,728.0,9.0,23.0,474.0,2032.0,66.0,52.0,309.0,7.0
